Feature 1,Feature 2,Label
2.764052345967664,1.4001572083672233,A
1.9787379841057393,3.240893199201458,A
2.8675579901499675,0.022722120123588985,A
1.9500884175255893,0.8486427917023021,A
0.8967811482064422,1.4105985019383724,A
1.144043571160878,2.4542735069629753,A
1.7610377251469935,1.1216750164928284,A
1.4438632327454257,1.3336743273742668,A
2.4940790731576064,0.7948417362341991,A
1.3130677016509014,0.14590426069827522,A
-1.5529898158340787,1.6536185954403606,A
1.8644361988595057,0.25783497959355806,A
3.2697546239876076,-0.45436567459876476,A
1.045758517301446,0.8128161499741664,A
2.5327792143584578,2.469358769900285,A
1.1549474256969163,1.3781625196021736,A
0.11221425236988725,-0.980796468223927,A
0.6520878506738474,1.15634896910398,A
2.2302906807277205,2.2023798487844113,A
0.6126731825920477,0.6976972494246645,A
-0.04855296506709261,-0.4200179371789752,A
-0.7062701906250126,2.9507753952317897,A
0.4903478182483465,0.5619256983888137,A
-0.2527953600499262,1.77749035583191,A
-0.6138978475579515,0.7872597197860313,A
0.10453343880632437,1.386902497859262,A
0.489194862431127,-0.1806321841224121,A
0.9718177716613451,1.4283318705304175,A
1.0665172223831678,1.3024718977397813,A
0.3656779063190364,0.6372588340128619,A
0.32753955222404896,0.6404468384594587,A
0.18685371795554595,-0.7262826023316769,A
1.1774261422537529,0.5982190637917382,A
-0.6301983469660446,1.4627822555257741,A
0.09270163561675782,1.0519453957961389,A
1.7290905621775368,1.1289829107574108,A
2.1394006845433005,-0.23482582035365263,A
1.4023416411775491,0.3151899090596868,A
0.12920285081811822,0.42115033523558454,A
0.6884474678726273,1.0561653422297455,A
-0.16514984078335648,1.900826486954187,A
1.4656624397304598,-0.5362436862772237,A
2.4882521937955997,2.8958891760305834,A
2.1787795711596507,0.8200751641876491,A
-0.07075262151054251,2.054451726931137,A
0.5968230530268204,2.2224450703824274,A
1.2082749780768602,1.9766390364837128,A
1.3563663971744018,1.706573168191948,A
1.0105000207208206,2.7858704939058354,A
1.1269120927036198,1.4019893634447016,A
5.883150697056254,2.6522409388575534,B
2.729515001514266,4.969396708158011,B
2.82687659488584,5.943621185649293,B
3.5863810192402528,3.2525451885592425,B
5.922942026480385,5.480514791434424,B
5.86755896042657,4.906044658275385,B
3.1387743149452976,5.910064953099034,B
3.7319966290486195,4.802456395796395,B
4.947251967773748,3.844989906909166,B
4.61407937034608,4.922206671566527,B
4.376425531155629,2.9005992094158053,B
4.298238174206056,5.3263858966870306,B
3.3054321402686346,3.850365459672329,B
3.5648464482783626,5.849263728479341,B
4.672294757012436,4.407461836241111,B
3.2300839255546836,4.539249191291817,B
3.325667339342624,4.031830558274351,B
3.364153921621119,4.6764332949464995,B
4.5765908166149405,3.791701244422005,B
4.396006712661645,2.906938491269494,B
2.5087424072943945,4.439391701264537,B
4.166673495372529,4.635031436892106,B
6.383144774863942,4.944479486990414,B
3.0871777745558413,5.1170162880958525,B
2.684092589488479,3.5384153951852912,B
3.9317583946753687,5.713342721649367,B
3.25524517795156,3.1735614613409857,B
3.9015474755745676,3.3365217136378926,B
5.126635922106507,2.9200684916365764,B
2.8525313475888976,3.5621799552555657,B
3.501967549307695,5.929532053816986,B
4.949420806925761,4.087551241385191,B
2.774564481169832,4.8443629764015474,B
2.999784652610435,2.4552289032223884,B
5.188029792352301,4.3169426119248495,B
4.920858823780819,4.318727652943021,B
4.856830611902691,3.348974406699853,B
2.9657571582155353,4.681594518281627,B
3.196590335826159,3.3104502222497993,B
3.544467496482657,4.017479159025057,B
3.646006088746516,2.625048706581981,B
3.3563815971671094,1.7765968477755734,B
4.6252314510271875,2.397942344393252,B
2.8956166605715494,4.052165079260974,B
3.2604370036086867,5.543014595406736,B
2.7071430902765514,4.267050869349183,B
3.9607171817725044,2.8319065022588026,B
4.523276660531754,3.828453668777752,B
4.771790551213668,4.823504153963731,B
6.16323594928069,5.336527949436392,B
6.630818162057556,0.7606208224240736,C
8.099659595887113,1.6552637307225977,C
7.640131526097592,-0.6169560443108344,C
6.975673875601064,0.2619690907943113,C
7.279924599043238,0.901849610357042,C
7.9101789080925915,1.317218215191302,C
7.7863279621089765,0.5335809032640569,C
6.05555374408175,0.5899503067974515,C
6.982979586138559,1.3791517355550817,C
9.259308950690851,0.9577428483393573,C
6.044054999507223,0.6540182243006136,C
6.536404025353906,1.4814814737734623,C
5.459202985555375,1.0632619942003316,C
7.156506537965376,1.2321810362002759,C
6.4026839310346375,0.762078270263993,C
5.575939091017468,0.5066801166378059,C
6.457138523983282,1.4160500462614256,C
5.843817568178087,1.7811981017099934,C
8.49448454449137,-1.0699850250135325,C
7.426258730778101,1.6769080350302454,C
6.362562974447771,0.6027281856712023,C
6.867119422413045,0.7022091205982717,C
6.690987030952877,-0.6760038063299767,C
8.15233156478312,2.0796185920368213,C
6.186635740795797,-0.46642432780251397,C
7.521064876452758,0.4242120301869339,C
7.14195316332078,0.6806715828549048,C
7.691538751070187,1.694749143656006,C
