X,y
1.9443029861958712,1
1.671813092795035,1
0.9167152904533248,0
1.113418400625664,0
1.4135064301212443,1
1.6462318716046471,1
2.2809546212682577,1
0.4697034397612326,0
1.0660958764383506,0
2.1920194371949107,1
2.0786537027467578,1
1.0244233410291643,0
0.9119368170620192,0
1.1557351336396673,0
1.463459103984838,1
1.0193869515473732,0
0.8547471590949188,0
0.8941083976607017,0
1.7870943949996112,1
1.890912478565573,1
0.7496255630394733,0
0.8963607546068317,1
1.8730205913890552,1
0.5031410381238827,0
0.690968616754098,0
1.5017624215397127,1
0.9632716971968448,1
0.5290476143079971,0
1.2052665640636515,1
0.5955404736012823,0
